State,Abbreviation,Region
Alabama,AL,2
Alaska,AK,5
Arizona,AZ,1
Arkansas,AR,2
California,CA,1
Colorado,CO,1
Connecticut,CT,3
Delaware,DE,3
Florida,FL,2
Georgia,GA,2
Hawaii,HI,1
Idaho,ID,4
Illinois,IL,4
Indiana,IN,4
Iowa,IA,4
Kansas,KS,4
Kentucky,KY,2
Louisiana,LA,2
Maine,ME,3
Maryland,MD,3
Massachusetts,MA,3
Michigan,MI,4
Minnesota,MN,4
Mississippi,MS,2
Missouri,MO,4
Montana,MT,5
Nebraska,NE,4
Nevada,NE,1
New Hampshire,NH,3
New Jersey,NJ,3
New Mexico,NM,1
New York,NY,3
North Carolina,NC,2
North Dakota,ND,4
Ohio,OH,4
Oklahoma,OK,4
Oregon,OR,5
Pennsylvania,PA,3
Rhode Island,RI,3
South Carolina,SC,2
South Dakota,SD,4
Tennessee,TN,2
Texas,TX,1
Utah,UT,1
Vermont,VT,3
Virginia,VA,2
Washington,WA,5
West Virginia,WV,2
Wisconsin,WI,4
Wyoming,WY,5